FRN,471 Application Number,Billed Entity Name,Applicant Type,Applicant Street Address 1,Applicant City,Applicant Zip Code,Fund Year,Cmtd Total Cost,FRN Committed Amount,Total Authorized Disbursement
1699031371,161003211,HOLY GHOST SCHOOL,School,6920 CHIMNEY ROCK RD,HOUSTON,"	77081",2016,"$1,026.00 ",$923.40 ,$922.50 
1699031816,161011792,YELLOWSTONE ACADEMY,School,3000 TRULLEY STREET,HOUSTON,"	77004",2016,"$47,880.00 ","$43,092.00 ","$43,092.00 "
1699032416,161017832,TORAH DAY SCHOOL OF HOUSTON,School,10900 FONDREN RD,HOUSTON,"	77096",2016,"$3,300.00 ",$0.00 ,
1699032580,161017940,FORT WORTH COUNTRY DAY,School,4200 COUNTRY DAY LANE,FORT WORTH,"	76109",2016,"$44,954.40 ","$17,981.76 ","$16,826.00 "
1699033849,161018502,TENAHA SCHOOLS,School,138 COLLEGE STREET,TENAHA,"	75974",2016,"$53,340.00 ","$48,006.00 ","$48,006.00 "
1699034353,161018749,CHINQUAPIN PREPARATORY SCHOOL,School,2615 E WALLISVILLE RD,HIGHLANDS,"	77562",2016,"$29,778.00 ","$26,800.20 ","$26,800.20 "
1699034465,161016733,MEYER PARK ELEMENTARY,School,13663 MAIN STREET,HOUSTON,"	77035",2016,"$4,300.92 ","$3,870.83 ",
1699034568,161018806,TYLER STREET CHRISTIAN ACAD,School,915 W 9TH ST,DALLAS,"	75208",2016,"$19,364.28 ","$11,618.57 ","$11,520.00 "
1699035208,161002431,OUR LADY OF THE GULF CATH SCH,School,301 S SAN ANTONIO ST,PORT LAVACA,"	77979",2016,"$1,422.00 ",$853.20 ,$852.60 
1699036347,161019667,EDUCATION CENTER INTERNATIONAL ACADEMY,School,8200 Schrade Rd,Rowlett,"	75088",2016,"$12,010.80 ","$7,206.48 ","$6,442.88 "
1699036616,161019802,UME PREPARATORY ACADEMY,School,3838 SPUR 408,DALLAS,"	75236",2016,"$22,216.80 ","$13,330.08 ","$9,887.33 "
