county,20151,20152,20143,20144,total,county_name
435,5243,5182,6132,8228,74355,Sutton
437,2845,2906,2873,3287,35733,Swisher
439,4744,4423,4358,4678,54609,Tarrant
441,3367,3387,3482,3749,41955,Taylor
443,4089,3818,3234,3658,44397,Terrell
445,3480,3349,3524,3775,42384,Terry
447,2489,2446,2606,2703,30732,Throckmorton
449,3102,3092,3022,3267,37449,Titus
451,3529,3465,3548,3821,43089,Tom Green
453,5227,5066,4984,5366,61929,Travis
455,2925,2929,2781,2975,34830,Trinity
457,3172,3073,3099,3273,37851,Tyler
459,3165,3193,3224,3439,39063,Upshur
461,5923,5102,5114,5885,66072,Upton
463,2784,2878,2777,3011,34350,Uvalde
465,2702,87143,2741,2832,286254,Val Verde
467,2890,3007,2972,3247,36348,Van Zandt
469,4022,3884,4084,4418,49224,Victoria
471,3257,3262,3270,3483,39816,Walker
473,4102,3981,3966,4555,49812,Waller
475,5242,5274,5249,5657,64266,Ward
477,3284,3248,3284,3742,40674,Washington
479,2794,2829,2796,3055,34422,Webb
481,3315,3199,3358,3513,40155,Wharton
483,2983,3035,3147,3469,37902,Wheeler
485,3404,3433,3400,3761,41994,Wichita
487,3052,3006,3137,3184,37137,Wilbarger
489,2679,2879,2785,2939,33846,Willacy
491,5135,4483,4384,4553,55665,Williamson
493,3037,3166,3303,3406,38736,Wilson
495,5301,5018,5085,5721,63375,Winkler
497,4285,4044,4326,4644,51897,Wise
499,2900,2960,2958,3257,36225,Wood
501,5198,4785,5309,5606,62694,Yoakum
503,3716,3644,3637,4074,45213,Young
505,4046,3825,4546,4651,51204,Zapata
507,2817,2925,2723,3141,34818,Zavala
